State (Emission order)	HP1	H1	H4K20me1	Dmnt3a	TAF3	PolII	H3K9ac	Brm	Pc
1	0.9714356982365513	0.4026766378471577	0.03531274171500961	0.08856012179314257	0.0033172025181336965	0.013466511930180232	0.01975076200350806	0.0036837507345927455	0.0035476009103792
2	6.160928919339275E-71	0.9689395023876031	0.0828786809510998	2.4747347246266308E-64	2.328225375660945E-5	0.004406813727848866	0.0615898591482511	6.123030066873659E-46	2.1759685426814593E-67
3	0.019762770947737603	0.9932382213984352	0.39076176235211235	0.982091949170229	0.030566790678487936	0.03231906860312517	0.08826954082641329	0.021562100253291073	0.005797211774703692
4	0.004006274998005692	9.867016242521528E-47	0.24445685582575535	0.827149831527882	3.5885660520758555E-33	0.04429361290392601	0.039171008221818814	0.0034013857159338134	2.400411792572916E-4
5	0.02777559263997589	0.024275581972542447	0.19302294735032888	0.3612925510452362	0.9751356734654754	0.21284305100954654	0.11559292439558026	0.058039996642781325	0.004406711109269708
6	8.288949232251634E-70	7.73952891896729E-58	9.749691587102399E-17	3.877082213498003E-66	5.938890320041837E-85	6.68060981890117E-28	2.009099504292544E-8	1.4003441024831197E-65	5.3238062430720636E-89
7	0.002194385441905769	0.17684606255327373	0.25081304425488987	0.010118395078791918	1.908813085773609E-22	0.26291507345448817	0.17539388714859094	0.549416086593273	1.4080691728427153E-64
8	0.009430710106692617	0.16320796413150976	0.049862750298250796	0.018383698695858278	0.03929667870104033	0.06935571238561727	0.08057299195985926	0.19969317121360614	0.9787734597522111
