"","epNSCs","qNSCs","lpNSCs","gene"
"lncRNA:CR44445","Enhancers","Low_signal","Enhancers","lncRNA:CR44445"
"lncRNA:CR44446","Enhancers","Enhancers","Enhancers","lncRNA:CR44446"
"CG44439","Enhancers","Enhancers","Enhancers","CG44439"
"CG14760","Low_signal","H1","H1","CG14760"
"CG30369","H1","Low_signal","Pc","CG30369"
"CG14759","H1","H1","Pc","CG14759"
"CG2291","H1","Pc","H1","CG2291"
"CG12126","H1","Pc","Low_signal","CG12126"
"CG30375","H1","Pc","H1","CG30375"
"CG30371","Pc","Pc","Pc","CG30371"
"lncRNA:CR44280","Low_signal","Low_signal","Pc","lncRNA:CR44280"
"mir-280","Low_signal","Pc","Low_signal","mir-280"
"lncRNA:CR44447","H1","Pc","Low_signal","lncRNA:CR44447"
"lncRNA:TS18","Low_signal","Low_signal","H1","lncRNA:TS18"
"lncRNA:CR44450","H1","Low_signal","Pc","lncRNA:CR44450"
"pdm3","H1","H1","H1","pdm3"
"CG11635","H1","Pc","H1","CG11635"
"hubl","H1","H1","H1","hubl"
"spaw","H1","H1","H1","spaw"
"whip","Low_signal","H1","H1","whip"
"cola","H1","H1","H1","cola"
"swif","H1","H1","H1","swif"
"boly","Low_signal","H1","H1","boly"
"CG18449","H1","H1","Low_signal","CG18449"
"CG2127","Enhancers","Pc","H1","CG2127"
"CG8701","H1","H1","H1","CG8701"
"CG2121","H1","Pc","Low_signal","CG2121"
"CSN7","H1","Low_signal","Low_signal","CSN7"
"Lcp1","H1","Low_signal","Low_signal","Lcp1"
"Lcp1Psi","H1","H1","Low_signal","Lcp1Psi"
"Lcp3","H1","H1","H1","Lcp3"
"Lcp4","H1","Low_signal","H1","Lcp4"
"Cyp4ad1","H1","H1","H1","Cyp4ad1"
"Cyp4e2","H1","H1","H1","Cyp4e2"
"mir-986","H1","H1","H1","mir-986"
"Cyp4e1","H1","Enhancers","H1","Cyp4e1"
"Mal-A1","H1","H1","H1","Mal-A1"
"Mal-A2","H1","H1","H1","Mal-A2"
"Mal-A3","Low_signal","H1","H1","Mal-A3"
"Mal-A4","H1","H1","H1","Mal-A4"
"Mal-A5","H1","H1","H1","Mal-A5"
"Mal-A6","Low_signal","H1","H1","Mal-A6"
"Mal-A7","H1","H1","H1","Mal-A7"
"Mal-A8","H1","HP1","H1","Mal-A8"
"mtt","H1","Enhancers","Enhancers","mtt"
"lncRNA:CR44279","Low_signal","Enhancers","Enhancers","lncRNA:CR44279"
"lncRNA:CR45308","H1","Low_signal","Low_signal","lncRNA:CR45308"
"Cyp6a14","Low_signal","H1","H1","Cyp6a14"
"Cyp6a15Psi","H1","H1","Enhancers","Cyp6a15Psi"
"Cyp6a13","H1","HP1","H1","Cyp6a13"
"CG42326","Low_signal","H1","H1","CG42326"
"CG14752","Low_signal","H1","H1","CG14752"
"CG43183","Low_signal","H1","Low_signal","CG43183"
"CG8736","Low_signal","Low_signal","H1","CG8736"
"Lnpk","Gene_body_1","Gene_body_1","Gene_body_1","Lnpk"
"rgr","Enhancers","Enhancers","Enhancers","rgr"
"Cirl","Gene_body_2","Gene_body_2","Gene_body_2","Cirl"
"Vps25","Open_promoters","Open_promoters","Open_promoters","Vps25"
"beta3GalTII","Open_promoters","Open_promoters","Open_promoters","beta3GalTII"
"Gle1","Gene_body_2","Gene_body_2","Gene_body_2","Gle1"
"CG8635","Open_promoters","Low_signal","Gene_body_2","CG8635"
"ptc","Enhancers","Enhancers","Enhancers","ptc"
"Acsl","Gene_body_1","Gene_body_1","Gene_body_1","Acsl"
"UQCR-11L","Gene_body_1","Gene_body_1","Gene_body_1","UQCR-11L"
"CG30355","Gene_body_1","Gene_body_1","Gene_body_1","CG30355"
"tRNA:Leu-CAG-1-1","Gene_body_1","H1","Low_signal","tRNA:Leu-CAG-1-1"
"Jon44E","Low_signal","H1","H1","Jon44E"
"CG8586","Low_signal","H1","H1","CG8586"
"CG8738","Low_signal","H1","H1","CG8738"
"CG8584","Low_signal","H1","H1","CG8584"
"CG12376","H1","H1","H1","CG12376"
"CG14744","H1","H1","H1","CG14744"
"CG14743","Low_signal","H1","H1","CG14743"
"PGRP-SC2","Gene_body_2","Gene_body_2","Gene_body_2","PGRP-SC2"
"CG14767","Gene_body_2","Gene_body_2","Gene_body_2","CG14767"
"CG30357","Gene_body_2","Gene_body_2","Gene_body_1","CG30357"
"gcl","Gene_body_2","Gene_body_2","Gene_body_2","gcl"
"snoRNA:gcl-a","Open_promoters","Open_promoters","Low_signal","snoRNA:gcl-a"
"CG30356","Gene_body_1","Gene_body_2","Gene_body_2","CG30356"
"stmA","Gene_body_2","Gene_body_2","Gene_body_1","stmA"
"CG8740","H1","H1","Enhancers","CG8740"
"CG42615","H1","Low_signal","H1","CG42615"
"lncRNA:CR44277","H1","H1","H1","lncRNA:CR44277"
"CG8746","H1","HP1","H1","CG8746"
"sns","H1","Enhancers","Enhancers","sns"
"CG30350","H1","H1","H1","CG30350"
"RyR","H1","H1","H1","RyR"
"CG8272","Gene_body_2","Gene_body_2","Low_signal","CG8272"
"DCTN2-p50","Low_signal","Low_signal","Open_promoters","DCTN2-p50"
"Sec31","Gene_body_2","Gene_body_2","Gene_body_2","Sec31"
"asRNA:CR45202","Gene_body_2","Gene_body_2","Gene_body_2","asRNA:CR45202"
"ana2","Gene_body_2","Gene_body_2","Open_promoters","ana2"
"CG13751","Open_promoters","Open_promoters","Open_promoters","CG13751"
"MrgBP","Open_promoters","Open_promoters","Open_promoters","MrgBP"
"Ggamma1","Open_promoters","Open_promoters","Open_promoters","Ggamma1"
"CCT8","Gene_body_2","Gene_body_2","Gene_body_2","CCT8"
"CG30349","Gene_body_2","HP1","Gene_body_1","CG30349"
"CG8252","Gene_body_2","HP1","Gene_body_1","CG8252"
"Pgi","Open_promoters","Open_promoters","Open_promoters","Pgi"
"lin","Gene_body_1","Gene_body_2","Gene_body_2","lin"
"CG34219","Gene_body_1","Gene_body_1","Gene_body_1","CG34219"
"CG8248","Open_promoters","Gene_body_1","Gene_body_1","CG8248"
"Spt","Gene_body_2","Gene_body_2","Open_promoters","Spt"
"CG8243","Low_signal","Low_signal","Open_promoters","CG8243"
"CG8237","Open_promoters","Open_promoters","Open_promoters","CG8237"
"AIMP1","Gene_body_2","Gene_body_2","Enhancers","AIMP1"
"PAN2","Gene_body_2","Gene_body_2","Gene_body_2","PAN2"
"CG13749","Gene_body_1","Gene_body_1","Gene_body_1","CG13749"
"FANCI","Gene_body_1","Gene_body_2","Gene_body_1","FANCI"
"lncRNA:CR44273","Low_signal","Enhancers","Low_signal","lncRNA:CR44273"
"CG8230","Gene_body_2","Gene_body_1","Gene_body_1","CG8230"
"CG33199","Gene_body_2","Open_promoters","Open_promoters","CG33199"
"CG8229","Gene_body_2","Open_promoters","Open_promoters","CG8229"
"Tom7","Open_promoters","Open_promoters","Open_promoters","Tom7"
"babo","Gene_body_2","Gene_body_2","Gene_body_1","babo"
"spab","H1","H1","Gene_body_1","spab"
"flz","H1","H1","H1","flz"
"Np","H1","H1","H1","Np"
"CG8172","H1","H1","H1","CG8172"
"CG13744","H1","H1","H1","CG13744"
"CG13747","Low_signal","H1","H1","CG13747"
"CG8170","Low_signal","H1","H1","CG8170"
"Ance-4","Low_signal","Low_signal","H1","Ance-4"
"PPO2","Low_signal","H1","H1","PPO2"
"CG8197","Low_signal","Low_signal","H1","CG8197"
"ana","H1","H1","Low_signal","ana"
"asRNA:CR45924","Low_signal","Low_signal","H1","asRNA:CR45924"
"CNT2","H1","H1","H1","CNT2"
"CNT1","Gene_body_1","H1","Gene_body_1","CNT1"
"CG13742","Gene_body_1","Open_promoters","Gene_body_1","CG13742"
"Dbp45A","Gene_body_2","Open_promoters","Open_promoters","Dbp45A"
"CG8080","Gene_body_1","Open_promoters","Gene_body_2","CG8080"
"Boot","H1","HP1","Low_signal","Boot"
"CG8078","Gene_body_2","Open_promoters","Open_promoters","CG8078"
"snoRNA:Or-CD2","Gene_body_2","Open_promoters","Open_promoters","snoRNA:Or-CD2"
"CG8777","Gene_body_2","Gene_body_2","Gene_body_2","CG8777"
"Vang","Gene_body_2","Gene_body_2","Gene_body_2","Vang"
"Pgm2a","Gene_body_2","Open_promoters","Open_promoters","Pgm2a"
"Mys45A","Gene_body_2","Gene_body_2","Gene_body_2","Mys45A"
"Phax","Open_promoters","Open_promoters","Open_promoters","Phax"
"Su(var)2-10","Gene_body_1","Gene_body_2","Gene_body_2","Su(var)2-10"
"GstE13","Gene_body_2","Gene_body_2","Open_promoters","GstE13"
"CG18659","Gene_body_2","Gene_body_1","Gene_body_1","CG18659"
"Hydr1","Gene_body_2","Gene_body_2","Gene_body_2","Hydr1"
"alc","Open_promoters","Open_promoters","Open_promoters","alc"
"CG44286","Gene_body_2","Enhancers","Enhancers","CG44286"
"CG8788","Gene_body_2","Enhancers","Enhancers","CG8788"
"shrb","Open_promoters","Open_promoters","Gene_body_2","shrb"
"Prp38","Open_promoters","Open_promoters","Open_promoters","Prp38"
"CG30344","Gene_body_2","Gene_body_2","Gene_body_2","CG30344"
"CG30345","Gene_body_1","Gene_body_1","Gene_body_1","CG30345"
"CG8008","H1","H1","H1","CG8008"
"lncRNA:CR44283","H1","H1","H1","lncRNA:CR44283"
"CG8046","H1","H1","H1","CG8046"
"Rad51D","Open_promoters","Open_promoters","Open_promoters","Rad51D"
"CG42382","Open_promoters","Open_promoters","Open_promoters","CG42382"
"Rme-8","Gene_body_2","Gene_body_2","Gene_body_1","Rme-8"
"Rab32","H1","Low_signal","H1","Rab32"
"CG45085","Gene_body_2","Gene_body_2","Gene_body_2","CG45085"
"CG8026","Gene_body_2","Gene_body_2","Gene_body_2","CG8026"
"unpg","Pc","Pc","Pc","unpg"
"CG8027","Pc","Pc","Pc","CG8027"
"VhaAC45","Gene_body_2","Open_promoters","Gene_body_2","VhaAC45"
"lncRNA:CR44451","Low_signal","Enhancers","Enhancers","lncRNA:CR44451"
"hig","Gene_body_2","Enhancers","Enhancers","hig"
"Cyp4p2","Gene_body_1","Open_promoters","H1","Cyp4p2"
"Cyp4p1","Gene_body_2","Enhancers","Enhancers","Cyp4p1"
"Cyp4p3","Gene_body_2","Open_promoters","Enhancers","Cyp4p3"
"Pkn","H1","Enhancers","Enhancers","Pkn"
"CG34141","Gene_body_2","Gene_body_1","Gene_body_1","CG34141"
"asRNA:CR45132","Low_signal","Open_promoters","Enhancers","asRNA:CR45132"
"CG2063","Open_promoters","Open_promoters","Open_promoters","CG2063"
"Cog6","Open_promoters","Gene_body_2","Gene_body_2","Cog6"
"Mad1","Open_promoters","Gene_body_2","Open_promoters","Mad1"
"Drep2","Gene_body_1","Enhancers","Enhancers","Drep2"
"Myd88","H1","Enhancers","Gene_body_1","Myd88"
"CG13739","H1","Low_signal","Low_signal","CG13739"
"CG13954","H1","Low_signal","Low_signal","CG13954"
"lncRNA:CR45918","H1","Enhancers","Low_signal","lncRNA:CR45918"
"mir-987","H1","Low_signal","Low_signal","mir-987"
"Or45a","H1","H1","H1","Or45a"
"l(2)03659","Low_signal","H1","H1","l(2)03659"
"CG8800","Gene_body_1","Gene_body_1","Gene_body_1","CG8800"
"Non1","Gene_body_2","Gene_body_2","Open_promoters","Non1"
"l(2)k10201","Open_promoters","Open_promoters","Open_promoters","l(2)k10201"
"CG33774","Open_promoters","Open_promoters","Open_promoters","CG33774"
"wun","Enhancers","H1","Enhancers","wun"
"wun2","Open_promoters","H1","Open_promoters","wun2"
"prel","Gene_body_2","Gene_body_2","Gene_body_2","prel"
"Pdk","Low_signal","Enhancers","Enhancers","Pdk"
"ced-6","Gene_body_2","H1","Gene_body_1","ced-6"
"Camta","H1","Pc","Pc","Camta"
"CG33758","H1","Pc","Pc","CG33758"
"CG33757","H1","Pc","Pc","CG33757"
"brp","Low_signal","Enhancers","Enhancers","brp"
"CG1888","Enhancers","HP1","Enhancers","CG1888"
"asRNA:CR45281","Low_signal","HP1","H1","asRNA:CR45281"
"Or45b","Enhancers","HP1","Enhancers","Or45b"
"Alp6","Low_signal","HP1","H1","Alp6"
"Not1","Gene_body_2","Gene_body_2","Gene_body_2","Not1"
"Nt5c","Open_promoters","Open_promoters","Open_promoters","Nt5c"
"lncRNA:CR46257","Open_promoters","Open_promoters","Open_promoters","lncRNA:CR46257"
"Smyd4-1","Gene_body_2","Gene_body_2","Open_promoters","Smyd4-1"
"Urod","Open_promoters","Open_promoters","Open_promoters","Urod"
"CG12929","Open_promoters","Open_promoters","Open_promoters","CG12929"
"RpL31","Open_promoters","Open_promoters","Open_promoters","RpL31"
"clos","Open_promoters","Open_promoters","Open_promoters","clos"
"CG1827","Open_promoters","Gene_body_2","Open_promoters","CG1827"
"Map60","Open_promoters","Open_promoters","Open_promoters","Map60"
"CG30338","Gene_body_2","Gene_body_1","H1","CG30338"
"CG1902","Gene_body_2","Gene_body_1","H1","CG1902"
"CG30340","Gene_body_1","Gene_body_1","Gene_body_1","CG30340"
"CG30339","Gene_body_2","Gene_body_1","H1","CG30339"
"lncRNA:CR44285","Gene_body_2","Gene_body_2","Low_signal","lncRNA:CR44285"
"GstT2","Gene_body_1","Gene_body_1","Gene_body_2","GstT2"
"CG12926","Gene_body_1","Gene_body_1","Gene_body_1","CG12926"
"asRNA:CR44069","H1","Gene_body_1","Gene_body_1","asRNA:CR44069"
"Mmp2","H1","Enhancers","Enhancers","Mmp2"
"tRNA:iMet-CAT-2-1","H1","Low_signal","Low_signal","tRNA:iMet-CAT-2-1"
"Uba1","Open_promoters","Gene_body_2","Open_promoters","Uba1"
"CG30002","Low_signal","Enhancers","H1","CG30002"
"CG1773","Enhancers","Low_signal","H1","CG1773"
"CG10459","Enhancers","Low_signal","Enhancers","CG10459"
"lncRNA:CR44292","Enhancers","Enhancers","Enhancers","lncRNA:CR44292"
"dap","Open_promoters","Open_promoters","Enhancers","dap"
"CheA46a","H1","Low_signal","Low_signal","CheA46a"
"trpl","H1","Low_signal","Enhancers","trpl"
"CG1690","H1","Pc","Enhancers","CG1690"
"CG1688","H1","Enhancers","Enhancers","CG1688"
"asRNA:CR44207","H1","Low_signal","H1","asRNA:CR44207"
"lncRNA:CR44208","H1","Enhancers","Enhancers","lncRNA:CR44208"
"CG1698","H1","Enhancers","H1","CG1698"
"CG1648","Low_signal","Low_signal","Enhancers","CG1648"
"lectin-46Cb","Low_signal","Low_signal","Enhancers","lectin-46Cb"
"lectin-46Ca","Enhancers","Enhancers","H1","lectin-46Ca"
"CG34033","Gene_body_2","Low_signal","Gene_body_2","CG34033"
"CG30001","Gene_body_2","Gene_body_2","Open_promoters","CG30001"
"dila","H1","Low_signal","H1","dila"
"hebe","H1","H1","H1","hebe"
"CG1663","Open_promoters","Low_signal","Open_promoters","CG1663"
"Lsm11","Gene_body_2","Gene_body_2","Open_promoters","Lsm11"
"Marc","Low_signal","Gene_body_2","Open_promoters","Marc"
"Vamp7","Open_promoters","Open_promoters","Open_promoters","Vamp7"
"Sting","Open_promoters","Low_signal","Open_promoters","Sting"
"Orc6","Open_promoters","Low_signal","Open_promoters","Orc6"
"Prosalpha7","Open_promoters","Open_promoters","Open_promoters","Prosalpha7"
"CG1671","Gene_body_2","Gene_body_2","Gene_body_2","CG1671"
"PCB","H1","Gene_body_1","Gene_body_1","PCB"
"CG30010","Gene_body_1","Gene_body_2","Gene_body_1","CG30010"
"CG46338","H1","HP1","H1","CG46338"
"Ntmt","Low_signal","Open_promoters","Low_signal","Ntmt"
"lncRNA:CR45138","H1","Low_signal","Low_signal","lncRNA:CR45138"
"Lime","Enhancers","HP1","H1","Lime"
"CG12744","Low_signal","Enhancers","Low_signal","CG12744"
"Sec24AB","Gene_body_2","Gene_body_2","Gene_body_2","Sec24AB"
"asRNA:CR45467","Open_promoters","Open_promoters","Open_promoters","asRNA:CR45467"
"CG1513","Gene_body_1","Gene_body_1","Gene_body_1","CG1513"
"CG12923","Gene_body_1","Gene_body_1","Gene_body_1","CG12923"
"CG30008","Open_promoters","Open_promoters","Open_promoters","CG30008"
"tea","Gene_body_2","Gene_body_1","Gene_body_1","tea"
"CG1441","H1","H1","H1","CG1441"
"FMRFa","H1","H1","H1","FMRFa"
"Etf-QO","Low_signal","Low_signal","Open_promoters","Etf-QO"
"Mef2","H1","Enhancers","Enhancers","Mef2"
"Pdrg1","Enhancers","Open_promoters","Open_promoters","Pdrg1"
"Pal1","Gene_body_2","Gene_body_2","Gene_body_2","Pal1"
"CG1418","Enhancers","Gene_body_2","Gene_body_2","CG1418"
"CG12133","H1","Enhancers","HP1","CG12133"
"eIF3j","Open_promoters","Open_promoters","Open_promoters","eIF3j"
"CG12134","Open_promoters","Gene_body_2","Open_promoters","CG12134"
"asRNA:CR46453","Open_promoters","Gene_body_2","Open_promoters","asRNA:CR46453"
"asRNA:CR43948","Pc","Pc","Pc","asRNA:CR43948"
"eve","Pc","Pc","Pc","eve"
"TER94","Gene_body_2","Gene_body_2","Gene_body_2","TER94"
"Pka-R2","H1","Enhancers","Enhancers","Pka-R2"
"mir-4967","Low_signal","Enhancers","Low_signal","mir-4967"
"lncRNA:CR44294","Low_signal","Low_signal","Enhancers","lncRNA:CR44294"
"CG12128","Gene_body_2","Gene_body_2","Gene_body_2","CG12128"
"CG1407","Gene_body_1","Gene_body_2","Gene_body_2","CG1407"
"CG12129","Gene_body_2","Gene_body_2","Gene_body_2","CG12129"
"oys","HP1","Gene_body_2","Low_signal","oys"
"CG34220","HP1","Low_signal","Low_signal","CG34220"
"lncRNA:CR44295","HP1","HP1","Enhancers","lncRNA:CR44295"
"COX7C","Open_promoters","Open_promoters","Enhancers","COX7C"
"COX7CL","Low_signal","Open_promoters","Low_signal","COX7CL"
"sel","Gene_body_2","Gene_body_2","Low_signal","sel"
"magu","Enhancers","Enhancers","Enhancers","magu"
"asRNA:CR44297","Enhancers","Low_signal","Low_signal","asRNA:CR44297"
"PIG-N","Gene_body_2","Gene_body_1","Gene_body_1","PIG-N"
"mRpL42","Open_promoters","Open_promoters","Open_promoters","mRpL42"
"Cdc2rk","Open_promoters","Open_promoters","Open_promoters","Cdc2rk"
"CG12920","Gene_body_2","Gene_body_1","Gene_body_1","CG12920"
"CG1371","Gene_body_1","Open_promoters","Gene_body_2","CG1371"
"egr","Enhancers","Enhancers","Enhancers","egr"
"snoRNA:Or-ACA6","Enhancers","Enhancers","Enhancers","snoRNA:Or-ACA6"
"CG2269","H1","Enhancers","Enhancers","CG2269"
"sut4","H1","HP1","HP1","sut4"
"Jra","Open_promoters","Enhancers","Open_promoters","Jra"
"14-3-3zeta","Gene_body_2","Open_promoters","Enhancers","14-3-3zeta"
"Pfk","Low_signal","Enhancers","Gene_body_2","Pfk"
"dmpd","Gene_body_2","Gene_body_1","Gene_body_1","dmpd"
"CG46319","Gene_body_1","Gene_body_1","Gene_body_1","CG46319"
"gem","Gene_body_1","Gene_body_1","Gene_body_1","gem"
"CG12917","Gene_body_1","Gene_body_1","Gene_body_1","CG12917"
"asRNA:CR43467","H1","H1","H1","asRNA:CR43467"
"Or46a","H1","H1","H1","Or46a"
"CG18011","Gene_body_1","Open_promoters","Open_promoters","CG18011"
"KCNQ","H1","Low_signal","Low_signal","KCNQ"
"asRNA:CR45133","H1","Low_signal","H1","asRNA:CR45133"
"mlt","Gene_body_2","Open_promoters","Open_promoters","mlt"
"CG34221","Enhancers","Enhancers","Enhancers","CG34221"
"Hr3","Enhancers","Low_signal","Enhancers","Hr3"
"CG12912","Enhancers","Low_signal","Enhancers","CG12912"
"lncRNA:CR46322","Enhancers","Low_signal","Low_signal","lncRNA:CR46322"
"lncRNA:CR45265","Pc","Pc","Pc","lncRNA:CR45265"
"Hdc","Pc","Pc","Pc","Hdc"
"CG12209","Low_signal","Low_signal","Enhancers","CG12209"
"CG12914","Gene_body_2","HP1","Gene_body_1","CG12914"
"Csgalnact","Low_signal","Open_promoters","Low_signal","Csgalnact"
"Syb","Enhancers","Open_promoters","Gene_body_2","Syb"
"CG12911","Enhancers","Low_signal","Enhancers","CG12911"
"lncRNA:CR30009","Enhancers","Low_signal","Enhancers","lncRNA:CR30009"
"CAP","H1","Enhancers","H1","CAP"
"RNaseZ","Open_promoters","Gene_body_1","Gene_body_2","RNaseZ"
"CG12909","Gene_body_1","Open_promoters","Open_promoters","CG12909"
